CARRIER,1(a),1(b),2(a),2(b),2(c),3,4,5,6(a),6(b),7,8(a),8(b),8(c),time,uri
United Air Lines,337,841,0,278,0,"1,456","1,456","20,197","29,810","14,378","12,287,697","$181,257","$561,880","$27,964",2011_3q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2011/html/2011_3q.html
US Airways,892,0,76,6,146,"1,120",892,"8,767",0,"3,890","13,743,223","$384,252",$0,$0,2011_3q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2011/html/2011_3q.html
AirTran Airways,0,271,0,0,13,284,271,"11,766",0,0,"6,704,438","$49,841",$0,$0,2011_2q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2011/html/2011_2q.html
Alaska Airlines,0,194,53,41,96,384,194,"1,592",138,19,"4,242,336",$0,"$133,355",$0,2011_2q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2011/html/2011_2q.html
American Airlines,760,340,10,504,56,"1,660","1,604","15,587","1,369",269,"19,650,620","$249,274","$156,420",$0,2011_2q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2011/html/2011_2q.html
American Eagle,417,63,11,802,52,"1,345","1,251","7,647",0,0,"4,377,094","$67,455","$23,178",$0,2011_2q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2011/html/2011_2q.html
Atlantic Southeast,39,294,10,0,3,346,333,"11,694","5,558",921,"3,708,749","$8,492","$167,274",$0,2011_2q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2011/html/2011_2q.html
Continental Airlines,75,"1,266",18,234,119,"1,712","1,555","7,981","1,872","1,398","10,177,417","$13,499","$461,277","$7,520",2011_2q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2011/html/2011_2q.html
Delta Air Lines,40,696,22,2,3,763,736,"28,195","49,330","11,480","26,752,092","$12,635","$461,027",$0,2011_2q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2011/html/2011_2q.html
ExpressJet,74,662,24,0,51,811,752,"7,985",0,0,"4,339,911","$13,291","$185,327","$8,256",2011_2q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2011/html/2011_2q.html
Frontier Airlines,7,191,6,36,8,248,10,"1,201",0,0,"2,638,684",$323,"$3,802",$600,2011_2q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2011/html/2011_2q.html
Hawaiian Airlines,9,0,0,0,0,9,9,146,0,0,"2,151,581",$836,$0,"$1,800",2011_2q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2011/html/2011_2q.html
JetBlue Airways,0,0,0,0,0,0,0,9,0,0,"6,622,343",0,$0,"$3,430",2011_2q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2011/html/2011_2q.html
