station_name,station_link,type,bus_number
Wat Po,http://www.transitbangkok.com/stations/Bangkok%20Bus/Wat%20Po,inbound,47
Wat Po,http://www.transitbangkok.com/stations/Bangkok%20Bus/Wat%20Po,outbound,47
Bus stop for Tha Thian Pier,http://www.transitbangkok.com/stations/Bangkok%20Bus/Bus%20stop%20for%20Tha%20Thian%20Pier,outbound,47
Grand Palace (Maharat Road),http://www.transitbangkok.com/stations/Bangkok%20Bus/Grand%20Palace%20%28Maharat%20Road%29,outbound,47
Sanam Luang,http://www.transitbangkok.com/stations/Bangkok%20Bus/Sanam%20Luang,outbound,47
Khok Wua,http://www.transitbangkok.com/stations/Bangkok%20Bus/Khok%20Wua,outbound,47
Democracy Monument,http://www.transitbangkok.com/stations/Bangkok%20Bus/Democracy%20Monument,outbound,47
Wat Ratchanatdaram (Ratchadamnoen Road),http://www.transitbangkok.com/stations/Bangkok%20Bus/Wat%20Ratchanatdaram%20%28Ratchadamnoen%20Road%29,outbound,47
Thai Airways (Lan Luang Road),http://www.transitbangkok.com/stations/Bangkok%20Bus/Thai%20Airways%20%28Lan%20Luang%20Road%29,outbound,47
Wat Saket,http://www.transitbangkok.com/stations/Bangkok%20Bus/Wat%20Saket,outbound,47
Wat Chaimongkol,http://www.transitbangkok.com/stations/Bangkok%20Bus/Wat%20Chaimongkol,outbound,47
National Stadium,http://www.transitbangkok.com/stations/BTS/National%20Stadium,outbound,47
Chulalongkorn University (Phaya Thai Road),http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20University%20%28Phaya%20Thai%20Road%29,outbound,47
Sam Yan,http://www.transitbangkok.com/stations/Mrt/Sam%20Yan,outbound,47
Chulalongkorn Hospital,http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20Hospital,outbound,47
Si Lom,http://www.transitbangkok.com/stations/Mrt/Si%20Lom,outbound,47
Lumphini,http://www.transitbangkok.com/stations/Mrt/Lumphini,outbound,47
Klong Toei,http://www.transitbangkok.com/stations/Mrt/Klong%20Toei,outbound,47
Ramkhamhaeng University 2,http://www.transitbangkok.com/stations/Bangkok%20Bus/Ramkhamhaeng%20University%202,inbound,48
"BITEC, Bang Na, Entrance 1 and 2",http://www.transitbangkok.com/stations/Bangkok%20Bus/BITEC%2C%20Bang%20Na%2C%20Entrance%201%20and%202,inbound,48
Udomsuk - Sukhumvit Intersection,http://www.transitbangkok.com/stations/Bangkok%20Bus/Udomsuk%20-%20Sukhumvit%20Intersection,inbound,48
Udom Suk Post Office,http://www.transitbangkok.com/stations/Bangkok%20Bus/Udom%20Suk%20Post%20Office,inbound,48
Punnawithi,http://www.transitbangkok.com/stations/BTS/Punnawithi,inbound,48
Bang Chak,http://www.transitbangkok.com/stations/BTS/Bang%20Chak,inbound,48
On Nut,http://www.transitbangkok.com/stations/BTS/On%20Nut,inbound,48
Phra Khanong,http://www.transitbangkok.com/stations/BTS/Phra%20Khanong,inbound,48
Ekkamai,http://www.transitbangkok.com/stations/BTS/Ekkamai,inbound,48
Thong Lo,http://www.transitbangkok.com/stations/BTS/Thong%20Lo,inbound,48
Embassy of the Republic of the Philippines,http://www.transitbangkok.com/stations/Bangkok%20Bus/Embassy%20of%20the%20Republic%20of%20the%20Philippines,inbound,48
Phrom Phong,http://www.transitbangkok.com/stations/BTS/Phrom%20Phong,inbound,48
Asok,http://www.transitbangkok.com/stations/BTS/Asok,inbound,48
Nana,http://www.transitbangkok.com/stations/BTS/Nana,inbound,48
Ploen Chit,http://www.transitbangkok.com/stations/BTS/Ploen%20Chit,inbound,48
Chit Lom,http://www.transitbangkok.com/stations/BTS/Chit%20Lom,inbound,48
Siam,http://www.transitbangkok.com/stations/BTS/Siam,inbound,48
National Stadium,http://www.transitbangkok.com/stations/BTS/National%20Stadium,inbound,48
Wat Chaimongkol,http://www.transitbangkok.com/stations/Bangkok%20Bus/Wat%20Chaimongkol,inbound,48
Bus stop for Tha Thian Pier,http://www.transitbangkok.com/stations/Bangkok%20Bus/Bus%20stop%20for%20Tha%20Thian%20Pier,inbound,48
Bus stop for Tha Thian Pier,http://www.transitbangkok.com/stations/Bangkok%20Bus/Bus%20stop%20for%20Tha%20Thian%20Pier,outbound,48
China World ,http://www.transitbangkok.com/stations/Bangkok%20Bus/China%20World%20,outbound,48
Klang Hospital Intersection,http://www.transitbangkok.com/stations/Bangkok%20Bus/Klang%20Hospital%20Intersection,outbound,48
Wat Chaimongkol,http://www.transitbangkok.com/stations/Bangkok%20Bus/Wat%20Chaimongkol,outbound,48
National Stadium,http://www.transitbangkok.com/stations/BTS/National%20Stadium,outbound,48
Siam,http://www.transitbangkok.com/stations/BTS/Siam,outbound,48
Chit Lom,http://www.transitbangkok.com/stations/BTS/Chit%20Lom,outbound,48
Ploen Chit,http://www.transitbangkok.com/stations/BTS/Ploen%20Chit,outbound,48
Nana,http://www.transitbangkok.com/stations/BTS/Nana,outbound,48
Asok,http://www.transitbangkok.com/stations/BTS/Asok,outbound,48
Phrom Phong,http://www.transitbangkok.com/stations/BTS/Phrom%20Phong,outbound,48
Embassy of the Republic of the Philippines,http://www.transitbangkok.com/stations/Bangkok%20Bus/Embassy%20of%20the%20Republic%20of%20the%20Philippines,outbound,48
Thong Lo,http://www.transitbangkok.com/stations/BTS/Thong%20Lo,outbound,48
Ekkamai,http://www.transitbangkok.com/stations/BTS/Ekkamai,outbound,48
Phra Khanong,http://www.transitbangkok.com/stations/BTS/Phra%20Khanong,outbound,48
On Nut,http://www.transitbangkok.com/stations/BTS/On%20Nut,outbound,48
Bang Chak,http://www.transitbangkok.com/stations/BTS/Bang%20Chak,outbound,48
Punnawithi,http://www.transitbangkok.com/stations/BTS/Punnawithi,outbound,48
Udom Suk Post Office,http://www.transitbangkok.com/stations/Bangkok%20Bus/Udom%20Suk%20Post%20Office,outbound,48
Udomsuk - Sukhumvit Intersection,http://www.transitbangkok.com/stations/Bangkok%20Bus/Udomsuk%20-%20Sukhumvit%20Intersection,outbound,48
"BITEC, Bang Na, Entrance 1 and 2",http://www.transitbangkok.com/stations/Bangkok%20Bus/BITEC%2C%20Bang%20Na%2C%20Entrance%201%20and%202,outbound,48
Ramkhamhaeng University 2,http://www.transitbangkok.com/stations/Bangkok%20Bus/Ramkhamhaeng%20University%202,outbound,48
